state,st_abb,date,tmin,tmax,tavg,ppt,coal,natural gas,petroleum coke,petroleum liquids
New Mexico,NM,2001-03-01,30.2594,57.5672,43.9142,26.203,1202.0,136.701,0.0,1.36
Nevada,NV,2001-03-01,30.065,54.883399999999995,42.474199999999996,25.797,651.0,277.317,0.0,24.48
New York,NY,2001-03-01,19.274,35.7548,27.514400000000002,128.505,963.0,516.78,0.0,487.56000000000006
Ohio,OH,2001-03-01,26.6972,44.0726,35.384,44.995,4823.0,39.771,0.0,13.464
Oklahoma,OK,2001-03-01,34.9502,55.9472,45.4478,36.665,1451.0,283.068,0.0,1.496
Oregon,OR,2001-03-01,29.9966,51.553399999999996,40.775,64.948,236.0,173.637,0.0,1.36
Pennsylvania,PA,2001-03-01,24.4058,40.6904,32.5472,102.856,4423.0,60.615,9.0,67.32000000000001
Rhode Island,RI,2001-03-01,28.2848,41.5958,34.9394,260.225,0.0,122.364,0.0,5.848000000000001
South Carolina,SC,2001-03-01,39.9074,63.311,51.6092,161.88,1248.0,9.558,0.0,16.728
South Dakota,SD,2001-03-01,19.0994,39.2432,29.1722,10.833,202.0,16.2,0.0,0.40800000000000003
Tennessee,TN,2001-03-01,33.1304,54.6152,43.8728,81.25,2115.0,14.094,0.0,6.256
Texas,TX,2001-03-01,41.4464,63.2606,52.3526,80.271,7610.0,3909.708,63.0,35.088
Utah,UT,2001-03-01,29.0894,52.5002,40.7948,33.078,1087.0,47.142,0.0,0.9520000000000001
Virginia,VA,2001-03-01,30.4106,52.4678,41.4392,113.239,1450.0,33.291,0.0,167.008
Vermont,VT,2001-03-01,15.224,33.755,24.4904,154.319,0.0,0.162,0.0,0.40800000000000003
Washington,WA,2001-03-01,30.2324,49.2926,39.7616,89.868,567.0,276.453,0.0,11.56
Wisconsin,WI,2001-03-01,17.2634,36.833,27.0482,16.158,1923.0,76.383,15.0,8.024000000000001
West Virginia,WV,2001-03-01,26.240000000000002,45.734,35.987,88.054,2819.0,13.689,0.0,6.256
Wyoming,WY,2001-03-01,20.1794,42.539,31.3592,16.465,2422.0,20.439,0.0,1.6320000000000001
Alabama,AL,2001-04-01,52.3202,76.4186,64.3694,97.953,2236.0,209.898,0.0,28.152
Arkansas,AR,2001-04-01,53.816,76.18639999999999,65.0012,57.885,983.0,91.179,0.0,12.24
Arizona,AZ,2001-04-01,42.2582,71.4128,56.8364,26.383,1792.0,317.088,0.0,5.5760000000000005
California,CA,2001-04-01,38.7896,63.7214,51.254599999999996,46.202,156.0,2577.987,77.0,31.552000000000003
Colorado,CO,2001-04-01,30.8354,58.6796,44.7584,44.366,1496.0,216.32399999999998,0.0,10.744000000000002
Connecticut,CT,2001-04-01,36.8042,58.699400000000004,47.7518,43.073,128.0,30.509999999999998,0.0,66.77600000000001
Delaware,DE,2001-04-01,43.5128,64.0724,53.7926,47.085,153.0,2.403,8.0,56.712
Florida,FL,2001-04-01,57.524,82.1858,69.8558,21.305,2152.0,753.705,40.0,757.248
Georgia,GA,2001-04-01,51.2348,76.514,63.874399999999994,45.694,2562.0,109.647,20.0,40.664
Iowa,IA,2001-04-01,39.6158,64.16239999999999,51.89,89.413,1728.0,32.049,0.0,1.9040000000000001
Idaho,ID,2001-04-01,27.347,50.5706,38.958800000000004,59.884,9.0,15.714,0.0,0.136
Illinois,IL,2001-04-01,45.0734,68.9918,57.0326,70.883,3424.0,82.863,1.0,77.248
Indiana,IN,2001-04-01,44.717,67.83619999999999,56.2766,68.967,3980.0,93.771,0.0,13.192
Kansas,KS,2001-04-01,43.8926,71.04740000000001,57.47,42.979,1424.0,29.322,0.0,19.584000000000003
Kentucky,KY,2001-04-01,47.5178,71.699,59.6084,46.852,3114.0,10.584,0.0,4.08
Louisiana,LA,2001-04-01,59.739799999999995,79.8818,69.8108,47.541,997.0,1160.352,53.0,57.120000000000005
Massachusetts,MA,2001-04-01,34.556,56.1542,45.356,44.093,376.0,148.554,0.0,94.656
Maryland,MD,2001-04-01,43.1492,65.1182,54.132799999999996,53.444,746.0,29.187,0.0,70.04
Maine,ME,2001-04-01,27.239,48.0542,37.6466,24.346,29.0,127.98,0.0,52.904
Michigan,MI,2001-04-01,34.528999999999996,56.4584,45.4928,77.692,2573.0,206.172,0.0,7.344
Minnesota,MN,2001-04-01,33.2276,51.9854,42.6074,134.319,1331.0,43.848,10.0,2.584
Missouri,MO,2001-04-01,48.272,71.6882,59.979200000000006,73.229,2757.0,60.075,0.0,2.176
Mississippi,MS,2001-04-01,55.2254,77.82079999999999,66.524,88.949,722.0,296.325,0.0,105.26400000000001
Montana,MT,2001-04-01,28.346,51.9512,40.1486,43.213,662.0,1.728,22.0,0.0
North Carolina,NC,2001-04-01,47.6132,72.0698,59.8406,43.865,2265.0,13.743,0.0,43.52
North Dakota,ND,2001-04-01,30.875,52.556,41.7164,41.565,1898.0,0.189,0.0,1.9040000000000001
Nebraska,NE,2001-04-01,36.9698,62.7872,49.8776,95.707,899.0,9.045,0.0,0.40800000000000003
